V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.207102839,0.219167679,0.209960517,0.219918509,0.22412906,0.22487439,0.300613418,0.272215846,0.266041432,0.260716877,0.129238727,0.114981418,0.180808479
0.76974592,0.718355906,0.740963413,0.716004309,0.785446297,0.820871372,0.34548246,0.733055693,0.657914933,0.759118771,0.860485511,0.608595873,0.335056943
0.39530154,0.413704711,0.429859866,0.447280411,0.464513088,0.491647381,0.583923188,0.587472437,0.586032947,0.560936861,0.412900755,0.348416312,0.065022665
0.831123831,0.847992191,0.849876516,0.854125128,0.91874093,0.961576911,0.698490709,0.787064299,0.749751565,0.66847675,0.638700499,0.464330536,0.546498268
0.30372939,0.319880994,0.298256345,0.304941103,0.319471095,0.312587452,0.290970765,0.260274687,0.291688245,0.273936283,0.204918004,0.186936602,0.252473015
0.709542381,0.718623258,0.768192846,0.780028949,0.808748324,0.8651244,0.679210234,0.636466372,0.730642379,0.625907929,0.775969764,0.811025308,0.892568407
0.438766968,0.467712458,0.431993781,0.437324022,0.477107757,0.501928182,0.49679786,0.605411274,0.572432428,0.532486011,0.530608948,0.382528205,0.442243491
0.391035412,0.403705452,0.393555113,0.399706649,0.419432654,0.416241756,0.324585578,0.350489635,0.334270599,0.320936327,0.253916378,0.230139194,0.411361663
0.417910138,0.44186917,0.487364563,0.514566097,0.505650019,0.482454155,0.52526381,0.401267485,0.485075618,0.455798968,0.367551336,0.252521295,0.329999261
0.359270527,0.360691614,0.382361598,0.390810201,0.403412476,0.411591482,0.378358025,0.403650555,0.400679041,0.409873846,0.485321327,0.5388089,0.699820273
0.842577963,0.88853499,0.987238978,1.036642152,1.043789359,1.039853656,1.044880927,0.823089984,0.877570901,0.747359717,0.582456927,0.194029318,0.163342333
0.312469779,0.319034556,0.304413513,0.308416955,0.325630945,0.321914972,0.274673714,0.269173778,0.236898733,0.22373688,0.159687138,0.135564542,0.202488551
0.211039439,0.219135683,0.234986201,0.250063558,0.245444877,0.245435747,0.317592833,0.257541123,0.288630381,0.276376826,0.256589195,0.343280198,0.399159073
0.348284291,0.347604345,0.379578167,0.390000736,0.391486037,0.372229939,0.273485649,0.26879258,0.302811279,0.305403154,0.326161196,0.456838358,0.396672943
0.587487369,0.619025393,0.633810407,0.64878955,0.673027405,0.645329811,0.506856613,0.483435982,0.510020869,0.502216158,0.50975097,0.323679095,0.318031669
0.376565922,0.374931534,0.387709612,0.383596516,0.413269279,0.42887673,0.331460633,0.40194001,0.401769812,0.399275997,0.473075249,0.753498182,0.79760431
0.581147042,0.608321397,0.618075201,0.636026742,0.669851399,0.702144491,0.716354157,0.814690363,0.782510034,0.837818445,0.781523226,0.405771959,0.287893244
0.357795549,0.369588896,0.354005758,0.361219602,0.377122099,0.37877235,0.333888941,0.353300109,0.341328086,0.352118378,0.290043383,0.17350472,0.16343965
0.194442033,0.195773289,0.205408123,0.218272442,0.207704325,0.197252932,0.177794465,0.150329381,0.138478345,0.131251967,0.079889911,0.079859811,0.085142262
0.157728415,0.140624656,0.136341129,0.130330551,0.142407216,0.133811016,0.056424052,0.061859865,0.043301568,0.035979801,0.048322527,0.140200689,0.170009514
0.328984636,0.325506682,0.302936763,0.298207118,0.322142891,0.324658247,0.177776011,0.242467414,0.203835612,0.185892035,0.199370857,0.297159158,0.283959438
0.540163493,0.569692128,0.529939227,0.528833633,0.577989809,0.579147235,0.41097027,0.487171841,0.455474919,0.430528954,0.373006246,0.249721908,0.208247128
0.56258096,0.609316252,0.466528771,0.437811355,0.541209113,0.530295927,0.279416211,0.47234834,0.331096717,0.416622337,0.329725742,0.122911168,0.127672199
0.143212743,0.136038427,0.16032818,0.162519252,0.156701543,0.14705525,0.086597392,0.069596631,0.104316333,0.096138712,0.184663952,0.643116935,0.923449223
0.747165759,0.700741328,0.762000735,0.769506301,0.826070265,0.889300402,0.696372715,0.756465342,0.648004659,0.764641038,0.694666994,0.404941171,0.341180966
0.530348296,0.546466022,0.489261319,0.475754649,0.542682593,0.557056484,0.377939392,0.507437184,0.444122604,0.450415218,0.399529176,0.292026914,0.337932802
0.323921958,0.312125741,0.335732799,0.335666439,0.351052529,0.354991803,0.236722339,0.248186522,0.264940377,0.269459505,0.344448675,0.649804699,0.676210134
0.529409075,0.530400674,0.619534808,0.647313073,0.635366347,0.633943401,0.572574242,0.559804615,0.595867366,0.596544323,0.586405369,0.376434228,0.406759939
0.377816295,0.372497838,0.349597677,0.3526145,0.382440614,0.416914704,0.388227595,0.503516516,0.41225455,0.416637284,0.261495232,0.137154185,0.131364074
0.18933478,0.189797902,0.20194293,0.214883344,0.201976607,0.195375691,0.186098469,0.16097669,0.160543744,0.153891338,0.111302718,0.125748332,0.133684394
0.308643452,0.297613808,0.280335118,0.279795102,0.300494598,0.317045104,0.233282853,0.270165815,0.221291246,0.194465219,0.118670987,0.099171068,0.149790076
0.410842381,0.401856191,0.397574586,0.398379195,0.41897766,0.419251409,0.247318251,0.291766209,0.225813719,0.187528612,0.110847955,0.084297129,0.096375237
0.256387607,0.24635063,0.255526251,0.256051336,0.263727594,0.254680369,0.135385965,0.148863258,0.115480389,0.093718763,0.088194368,0.175203559,0.308162661
0.444968488,0.448376886,0.452821645,0.449610356,0.48829597,0.499145814,0.384088473,0.416020211,0.405093162,0.369547034,0.400163025,0.671273349,1.274671214
0.578463654,0.600262077,0.583836179,0.597706749,0.643504144,0.693971558,0.728065419,0.925249085,0.811800188,0.8636614,0.781095778,0.298332952,0.210542682
0.288334034,0.291318203,0.294913097,0.295114012,0.30861961,0.307616409,0.210719746,0.221178181,0.253294942,0.245633513,0.287957624,0.529255972,0.485781721
0.540778461,0.57049471,0.5275783,0.523278687,0.59162626,0.625660716,0.570668078,0.735206056,0.73562591,0.758352685,0.82706756,0.875252117,0.852175334
0.852548296,0.895554943,0.893348428,0.910291995,0.986092651,1.07969556,1.144739675,1.374359121,1.394554248,1.449103712,1.492402405,1.002347506,0.988852199
0.8310645,0.897709453,0.853797244,0.864531148,0.948050583,0.999381113,0.962167009,1.090934251,1.077217161,1.037259807,1.160406325,0.704018117,0.457797429
0.458646246,0.48342054,0.501148066,0.531713468,0.536500714,0.548349136,0.630026662,0.540211795,0.518825463,0.406617261,0.190445514,0.031172391,0.094101428
0.269276775,0.272281632,0.307206424,0.314739773,0.313537595,0.295508574,0.192748544,0.157486415,0.195675172,0.160450932,0.212160558,0.550916215,0.563675546
