train_u_0,train_u_1,train_u_2,train_u_3,train_u_4,train_u_5,train_u_6,train_u_7,train_u_8,train_u_9,train_u_10,train_u_11,train_u_12
0.7120518234419082,0.7659302172765045,0.577656438256944,0.549404326229846,0.6912225131693053,0.7378632846796042,0.44312080569654333,0.8245440088785826,0.5536895746300097,0.5533406333634707,0.4874959404744966,0.37871796754471276,0.5986182636874011
0.6045690166258803,0.6308610075073259,0.6782307054006198,0.6753237535610349,0.6961640169706882,0.7816396167661778,0.6165173444814324,0.4847561837464344,0.33211719869850487,0.22651536532788813,0.3650615880035641,0.3742782580093459,1.5165411522925023
0.31139832189956107,0.3772276942269609,0.3290934951035409,0.3638716227129618,0.38144612245497517,0.3463018777197654,0.5147524529293322,0.4304758142576814,0.6042740433960948,0.6128423553865108,0.6725026954316731,0.5459884625677122,0.5747917672308711
0.12452199106940676,0.14603379307594666,0.12654582213182275,0.12497941615254103,0.1318610747066049,0.11734129847553891,0.09686088246177385,0.07445028203850963,0.1050168860068493,0.12188297991822993,0.21085295617315825,0.46912583570427163,0.47009882329215896
0.1595353030669836,0.18588252154487273,0.24237482581493924,0.28388092476797755,0.26013249971204466,0.3062325090110506,0.9220407502827314,0.6478913265927901,0.82649039175831,0.825487903835115,0.924585531430874,0.6666630245448059,0.15753868811039545
0.161616074448454,0.19844819332804287,0.10956267351025607,0.10301241192675072,0.14027385547660037,0.16222322619541502,0.19115571984350868,0.3353241173094552,0.29694942791532775,0.39566440958041404,1.0223744483090809,1.1359409554284354,0.18527402258609138
0.07871072671915683,0.06902172855434967,0.18836395975962558,0.2570939717695795,0.15946231559085006,0.10557461372887904,0.34465192657930627,0.0413949298909749,0.1734216714723956,0.15500511834334535,0.16732957795414247,0.1597544762975329,0.16066543110274556
0.35255836314592226,0.36012320628648875,0.3038813314929305,0.306804316832223,0.3606286569655988,0.38964630063844885,0.39971100141811633,0.5990577375614552,0.37188863996139804,0.4338359279796991,0.12658345997147824,0.034537911641904916,0.3821211178035636
0.2475616166236601,0.24160918618974117,0.2362976665820991,0.2480938599092722,0.26846625599756874,0.27216875470898305,0.3313669455353537,0.36100476089025124,0.48152612954261714,0.5042852664316643,0.4937173295421906,0.5128881608737889,0.21216059760326916
0.3230553809302952,0.3434780245691971,0.2161496293561977,0.18783191762415838,0.25444852490244885,0.31270077318217,0.1881807014823681,0.7466812206355853,0.4982924064913865,0.8028789088156312,1.0311488341307489,1.3061532787674701,1.0516302574647396
0.2267884746934115,0.19781227686738528,0.18359456593298362,0.17318866868969382,0.19372995689098796,0.1996130409392165,0.09138352704813753,0.24552004622301377,0.2416557886622756,0.45577625429002416,0.6921997566461853,0.8799893069009478,0.08805052959601482
0.17135342213976246,0.18872482027656454,0.3144672104002367,0.34893917751484294,0.2764977268983994,0.2534772375647009,0.4654791928833714,0.28684077604037306,0.5737461142048499,0.7060091865058038,1.0126496083736236,1.1246902923791477,0.16517003175195405
